ts,payload,day,hour,minute,month,source,year
2026-07-01 18:49:28.247-03,"{""Message"":{""PositionReport"":{""Cog"":94.4,""CommunicationState"":66533,""Latitude"":39.97844166666666,""Longitude"":-75.06954666666667,""MessageID"":1,""NavigationalStatus"":12,""PositionAccuracy"":true,""Raim"":false,""RateOfTurn"":0,""RepeatIndicator"":0,""Sog"":0,""Spare"":0,""SpecialManoeuvreIndicator"":0,""Timestamp"":27,""TrueHeading"":49,""UserID"":367560590,""Valid"":true}},""MessageType"":""PositionReport"",""MetaData"":{""MMSI"":367560590,""MMSI_String"":367560590,""ShipName"":""RED HOOK            "",""latitude"":39.97844,""longitude"":-75.06955,""time_utc"":""2026-07-01 21:49:26.709633663 +0000 UTC""}}",01,21,49,07,aisstream,2026
2026-07-01 18:49:28.247-03,"{""Message"":{""PositionReport"":{""Cog"":323.9,""CommunicationState"":768,""Latitude"":43.56272833333333,""Longitude"":-5.695651666666667,""MessageID"":3,""NavigationalStatus"":12,""PositionAccuracy"":false,""Raim"":false,""RateOfTurn"":-127,""RepeatIndicator"":0,""Sog"":1.1,""Spare"":0,""SpecialManoeuvreIndicator"":0,""Timestamp"":25,""TrueHeading"":57,""UserID"":225996762,""Valid"":true}},""MessageType"":""PositionReport"",""MetaData"":{""MMSI"":225996762,""MMSI_String"":225996762,""ShipName"":""RG ESVA             "",""latitude"":43.56273,""longitude"":-5.69565,""time_utc"":""2026-07-01 21:49:26.713605843 +0000 UTC""}}",01,21,49,07,aisstream,2026
2026-07-01 18:49:28.247-03,"{""Message"":{""ShipStaticData"":{""AisVersion"":2,""CallSign"":""CKN7150"",""Destination"":"""",""Dimension"":{""A"":15,""B"":12,""C"":7,""D"":3},""Dte"":false,""Eta"":{""Day"":0,""Hour"":24,""Minute"":60,""Month"":0},""FixType"":0,""ImoNumber"":9859947,""MaximumStaticDraught"":0,""MessageID"":5,""Name"":""ATLANTIC TITAN      "",""RepeatIndicator"":0,""Spare"":false,""Type"":30,""UserID"":316036617,""Valid"":true}},""MessageType"":""ShipStaticData"",""MetaData"":{""MMSI"":316036617,""MMSI_String"":316036617,""ShipName"":""ATLANTIC TITAN      "",""latitude"":47.56567,""longitude"":-52.69191,""time_utc"":""2026-07-01 21:49:26.720640891 +0000 UTC""}}",01,21,49,07,aisstream,2026
2026-07-01 18:49:28.247-03,"{""Message"":{""PositionReport"":{""Cog"":277.3,""CommunicationState"":66534,""Latitude"":36.22530166666666,""Longitude"":-8.664186666666666,""MessageID"":1,""NavigationalStatus"":0,""PositionAccuracy"":false,""Raim"":false,""RateOfTurn"":0,""RepeatIndicator"":0,""Sog"":10.4,""Spare"":0,""SpecialManoeuvreIndicator"":0,""Timestamp"":25,""TrueHeading"":277,""UserID"":636023978,""Valid"":true}},""MessageType"":""PositionReport"",""MetaData"":{""MMSI"":636023978,""MMSI_String"":636023978,""ShipName"":""CLARA B"",""latitude"":36.2253,""longitude"":-8.66419,""time_utc"":""2026-07-01 21:49:26.722602475 +0000 UTC""}}",01,21,49,07,aisstream,2026
2026-07-01 18:49:28.247-03,"{""Message"":{""PositionReport"":{""Cog"":360,""CommunicationState"":2264,""Latitude"":51.55044833333333,""Longitude"":3.8113516666666665,""MessageID"":1,""NavigationalStatus"":0,""PositionAccuracy"":true,""Raim"":true,""RateOfTurn"":-128,""RepeatIndicator"":0,""Sog"":0,""Spare"":0,""SpecialManoeuvreIndicator"":0,""Timestamp"":26,""TrueHeading"":511,""UserID"":205566490,""Valid"":true}},""MessageType"":""PositionReport"",""MetaData"":{""MMSI"":205566490,""MMSI_String"":205566490,""ShipName"":""ANNIE 5"",""latitude"":51.55045,""longitude"":3.81135,""time_utc"":""2026-07-01 21:49:26.717373637 +0000 UTC""}}",01,21,49,07,aisstream,2026
2026-07-01 18:49:28.247-03,"{""Message"":{""Interrogation"":{""MessageID"":15,""RepeatIndicator"":0,""Spare"":0,""Station1Msg1"":{""MessageID"":211746530,""SlotOffset"":0,""StationID"":211746530,""Valid"":true},""Station1Msg2"":{""MessageID"":0,""SlotOffset"":0,""Spare"":0,""Valid"":false},""Station2"":{""MessageID"":0,""SlotOffset"":0,""Spare1"":0,""Spare2"":0,""StationID"":0,""Valid"":false},""UserID"":2766140,""Valid"":true}},""MessageType"":""Interrogation"",""MetaData"":{""MMSI"":2766140,""MMSI_String"":2766140,""ShipName"":"""",""latitude"":59.51679,""longitude"":24.8398,""time_utc"":""2026-07-01 21:49:26.74190654 +0000 UTC""}}",01,21,49,07,aisstream,2026
2026-07-01 18:49:28.247-03,"{""Message"":{""PositionReport"":{""Cog"":354.9,""CommunicationState"":27332,""Latitude"":51.688653333333335,""Longitude"":4.596478333333334,""MessageID"":1,""NavigationalStatus"":0,""PositionAccuracy"":true,""Raim"":false,""RateOfTurn"":0,""RepeatIndicator"":0,""Sog"":0,""Spare"":0,""SpecialManoeuvreIndicator"":0,""Timestamp"":26,""TrueHeading"":106,""UserID"":245518000,""Valid"":true}},""MessageType"":""PositionReport"",""MetaData"":{""MMSI"":245518000,""MMSI_String"":245518000,""ShipName"":""HAM602              "",""latitude"":51.68865,""longitude"":4.59648,""time_utc"":""2026-07-01 21:49:26.748340121 +0000 UTC""}}",01,21,49,07,aisstream,2026
2026-07-01 18:49:28.247-03,"{""Message"":{""StandardClassBPositionReport"":{""AssignedMode"":false,""ClassBBand"":true,""ClassBDisplay"":false,""ClassBDsc"":true,""ClassBMsg22"":true,""ClassBUnit"":true,""Cog"":360,""CommunicationState"":393222,""CommunicationStateIsItdma"":true,""Latitude"":39.45950333333334,""Longitude"":-0.31445833333333334,""MessageID"":18,""PositionAccuracy"":true,""Raim"":true,""RepeatIndicator"":0,""Sog"":0,""Spare1"":0,""Spare2"":0,""Timestamp"":26,""TrueHeading"":511,""UserID"":225993618,""Valid"":true}},""MessageType"":""StandardClassBPositionReport"",""MetaData"":{""MMSI"":225993618,""MMSI_String"":225993618,""ShipName"":""OQRE"",""latitude"":39.4595,""longitude"":-0.31446,""time_utc"":""2026-07-01 21:49:26.756999089 +0000 UTC""}}",01,21,49,07,aisstream,2026
2026-07-01 18:49:28.247-03,"{""Message"":{""ShipStaticData"":{""AisVersion"":2,""CallSign"":""2BME6"",""Destination"":""FASLANE"",""Dimension"":{""A"":10,""B"":16,""C"":2,""D"":2},""Dte"":false,""Eta"":{""Day"":22,""Hour"":15,""Minute"":0,""Month"":6},""FixType"":1,""ImoNumber"":9476329,""MaximumStaticDraught"":3.2,""MessageID"":5,""Name"":""SD MARS"",""RepeatIndicator"":0,""Spare"":false,""Type"":52,""UserID"":235067374,""Valid"":true}},""MessageType"":""ShipStaticData"",""MetaData"":{""MMSI"":235067374,""MMSI_String"":235067374,""ShipName"":""SD MARS"",""latitude"":56.05331,""longitude"":-4.82013,""time_utc"":""2026-07-01 21:49:26.757845788 +0000 UTC""}}",01,21,49,07,aisstream,2026
2026-07-01 18:49:28.248-03,"{""Message"":{""BaseStationReport"":{""CommunicationState"":49578,""FixType"":1,""Latitude"":36.097903333333335,""LongRangeEnable"":false,""Longitude"":-5.540616666666667,""MessageID"":4,""PositionAccuracy"":true,""Raim"":true,""RepeatIndicator"":0,""Spare"":0,""UserID"":2242111,""UtcDay"":15,""UtcHour"":21,""UtcMinute"":49,""UtcMonth"":11,""UtcSecond"":26,""UtcYear"":2006,""Valid"":true}},""MessageType"":""BaseStationReport"",""MetaData"":{""MMSI"":2242111,""MMSI_String"":2242111,""ShipName"":"""",""latitude"":36.0979,""longitude"":-5.54062,""time_utc"":""2026-07-01 21:49:26.76240938 +0000 UTC""}}",01,21,49,07,aisstream,2026
